Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Talg nöt;1;2746;656;7,0;71,0;0,0;0,0;0,0;0,3;21,7;0,0;0,0;0,0;0,0;0;35,8;0,0;0,1;3,2;20,2;10,8;0,5;28,8;2,6;25,3;2,8;;2,4;0,0;;0,3;;0,0;0,0;0,0;;109,0;22;19;36;0,10;0,6;;0,00;0,00;0;0,0;1,3;0,00;0,00;7;1;;0;0,30;0;6;3;11;1,0;0,10;
Späck gris;2;3193;763;2,8;85,0;0,0;0,0;0,0;0,7;11,1;0,0;0,0;0,0;0,0;0;32,8;0,0;0,1;1,1;20,7;10,6;0,2;38,5;2,3;35,2;9,0;;7,8;0,0;;0,7;;0,0;0,0;0,0;;57,0;4;4;0;0,60;0,7;;0,05;0,07;0;0,5;1,0;0,02;0,60;26;1;;0;0,20;4;65;1;11;5,0;0,40;
Ister gris;3;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;48,8;0,0;0,1;1,5;26,7;20,0;0,2;37,5;2,0;34,1;9,4;;7,9;0,0;;0,7;;0,0;0,2;0,3;;95,0;9;9;0;0,00;1,2;;0,00;0,00;0;0,0;0,0;0,00;0,00;3;0;;0;0,10;1;1;1;2;7,0;0,10;
Kokosfett;4;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;92,0;13,0;46,3;18,7;9,6;3,0;0,0;6,0;0,0;7,2;2,0;;1,8;0,0;;0,0;;0,0;0,0;0,0;0,5;0,0;0;;0;0,00;11,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Matfettsblandning havssaltat fett 80% berikad typ Bregott;5;2977;712;0,5;80,0;0,5;0,0;2,0;1,5;17,5;0,0;0,0;0,4;0,0;0;39,2;6,4;2,0;6,0;17,3;6,5;0,3;26,5;0,9;24,5;8,5;;6,1;0,0;;2,4;;0,0;0,0;0,0;;180,0;919;900;230;10,00;6,8;;0,01;0,02;0;0,1;0,2;0,01;0,10;26;3;;0;0,20;18;20;3;800;0,0;0,10;
Matfettsblandning fett 60 % berikad typ Bregott mellan;6;2235;534;0,4;60,0;0,5;0,0;1,0;1,0;38,1;0,0;0,0;0,5;0,0;0;26,6;3,8;1,2;4,0;12,1;3,9;0,2;22,4;0,7;20,9;7,9;5,1;5,4;0,0;2,3;2,4;0,0;0,0;0,0;0,0;1,3;124,8;762;745;199;9,68;6,5;31;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;0;0,00;0;0;0;400;0,0;0,00;
Bordsmargarin fett 70% berikad typ Milda;7;2599;621;0,2;70,0;0,3;0,0;0,9;0,9;28,3;0,0;0,0;0,3;0,0;0;23,0;0,3;3,8;1,3;13,3;2,1;0,0;29,0;0,0;29,1;18,0;;14,5;0,0;;4,3;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;360;0,0;0,00;
Bordsmargarin extrasaltat fett 60% berikad typ Milda;8;2229;533;0,2;60,0;0,3;0,0;1,2;1,2;38,3;0,0;0,0;0,3;0,0;0;20,0;0,3;3,2;1,1;11,4;1,8;0,0;25,0;0,0;24,9;15,0;;12,4;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;480;0,0;0,00;
Bordsmargarin mjölkfri fett 60% berikad typ Milda;9;2220;531;0,0;60,0;0,0;0,0;0,9;0,9;39,1;0,0;0,0;0,0;0,0;0;20,0;0,3;3,2;1,1;11,4;1,8;0,0;25,0;0,0;24,9;15,0;;12,4;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;360;0,0;0,00;
Flytande margarin fett 82 % berikad typ Milda culinesse;10;3017;721;0,0;82,0;0,0;0,0;1,5;1,3;16,7;0,0;0,0;0,0;0,0;0;7,3;0,0;0,0;0,1;3,6;2,1;0,6;42,5;0,2;41,0;28,7;19,8;19,8;0,0;8,3;8,8;0,0;0,0;0,0;0,0;0,6;0,0;693;645;577;10,50;23,7;70;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;0;0;0,00;0;0;0;600;0,0;0,00;
